Tipo_Vetor,Tamanho_Vetor,Algoritmo,Tempo_Medio_ms
Aleatórios,1500000,QuickSortCentral,181.5476
Aleatórios,1500000,QuickSortRandomico,190.3272
Aleatórios,1500000,QuickSortMediana3,309.3970
Aleatórios,1500000,QuickSortUltimo,215.3314
Aleatórios,2000000,QuickSortCentral,249.4964
Aleatórios,2000000,QuickSortRandomico,266.2166
Aleatórios,2000000,QuickSortMediana3,313.7402
Aleatórios,2000000,QuickSortUltimo,261.7028
Ordenados,100,QuickSortCentral,0.0012
Ordenados,100,QuickSortRandomico,0.0628
Ordenados,100,QuickSortMediana3,0.0070
Ordenados,100,QuickSortUltimo,0.0078
Ordenados,200,QuickSortCentral,0.0036
Ordenados,200,QuickSortRandomico,0.0094
Ordenados,200,QuickSortMediana3,0.0140
Ordenados,200,QuickSortUltimo,0.0220
Ordenados,500,QuickSortCentral,0.0086
Ordenados,500,QuickSortRandomico,0.0236
Ordenados,500,QuickSortMediana3,0.0370
Ordenados,500,QuickSortUltimo,0.1336
Ordenados,1000,QuickSortCentral,0.0468
Ordenados,1000,QuickSortRandomico,0.0742
Ordenados,1000,QuickSortMediana3,0.0726
Ordenados,1000,QuickSortUltimo,0.6452
Ordenados,2000,QuickSortCentral,0.0712
Ordenados,2000,QuickSortRandomico,0.1066
Ordenados,2000,QuickSortMediana3,0.1554
Ordenados,2000,QuickSortUltimo,1.9188
Ordenados,5000,QuickSortCentral,0.1536
Ordenados,5000,QuickSortRandomico,0.4570
Ordenados,5000,QuickSortMediana3,0.4034
Ordenados,5000,QuickSortUltimo,10.1132
Ordenados,7500,QuickSortCentral,0.2848
Ordenados,7500,QuickSortRandomico,0.4554
Ordenados,7500,QuickSortMediana3,0.6354
Ordenados,7500,QuickSortUltimo,21.0986
Ordenados,10000,QuickSortCentral,0.4238
Ordenados,10000,QuickSortRandomico,0.7174
Ordenados,10000,QuickSortMediana3,0.9552
Ordenados,10000,QuickSortUltimo,39.0080
Ordenados,15000,QuickSortCentral,0.5508
Ordenados,15000,QuickSortRandomico,0.9844
Ordenados,15000,QuickSortMediana3,1.3214
Ordenados,15000,QuickSortUltimo,72.3698
Ordenados,30000,QuickSortCentral,1.1568
Ordenados,30000,QuickSortRandomico,1.9512
Ordenados,30000,QuickSortMediana3,2.7804
Ordenados,30000,QuickSortUltimo,218.0910
Ordenados,50000,QuickSortCentral,1.6720
Ordenados,50000,QuickSortRandomico,2.6494
Ordenados,50000,QuickSortMediana3,3.8368
Ordenados,50000,QuickSortUltimo,504.9562
Ordenados,75000,QuickSortCentral,3.1790
Ordenados,75000,QuickSortRandomico,4.6646
Ordenados,75000,QuickSortMediana3,6.9052
Ordenados,75000,QuickSortUltimo,873.7870
Ordenados,100000,QuickSortCentral,4.6966
Ordenados,100000,QuickSortRandomico,7.5368
Ordenados,100000,QuickSortMediana3,9.7348
Ordenados,100000,QuickSortUltimo,1352.0254
Ordenados,200000,QuickSortCentral,8.8200
Ordenados,200000,QuickSortRandomico,13.6794
Ordenados,200000,QuickSortMediana3,20.3224
Ordenados,200000,QuickSortUltimo,3118.9626
Ordenados,500000,QuickSortCentral,21.8462
Ordenados,500000,QuickSortRandomico,31.3722
Ordenados,500000,QuickSortMediana3,44.2630
Ordenados,500000,QuickSortUltimo,9263.1424
Ordenados,750000,QuickSortCentral,33.1888
Ordenados,750000,QuickSortRandomico,45.0932
Ordenados,750000,QuickSortMediana3,70.2130
Ordenados,750000,QuickSortUltimo,14351.6514
Ordenados,1000000,QuickSortCentral,31.1784
Ordenados,1000000,QuickSortRandomico,41.1808
Ordenados,1000000,QuickSortMediana3,78.4328
Ordenados,1000000,QuickSortUltimo,20032.5460
Ordenados,1250000,QuickSortCentral,44.8670
Ordenados,1250000,QuickSortRandomico,58.0754
Ordenados,1250000,QuickSortMediana3,91.3960
Ordenados,1250000,QuickSortUltimo,25632.6424
Ordenados,1500000,QuickSortCentral,55.1770
Ordenados,1500000,QuickSortRandomico,76.2338
Ordenados,1500000,QuickSortMediana3,117.8296
Ordenados,1500000,QuickSortUltimo,32251.9532
Ordenados,2000000,QuickSortCentral,65.4066
Ordenados,2000000,QuickSortRandomico,102.9302
Ordenados,2000000,QuickSortMediana3,184.9672
Ordenados,2000000,QuickSortUltimo,43609.5306
Decrescentes,100,QuickSortCentral,0.0032
Decrescentes,100,QuickSortRandomico,0.0092
Decrescentes,100,QuickSortMediana3,0.0260
Decrescentes,100,QuickSortUltimo,0.0232
Decrescentes,200,QuickSortCentral,0.0072
Decrescentes,200,QuickSortRandomico,0.0256
Decrescentes,200,QuickSortMediana3,0.0220
Decrescentes,200,QuickSortUltimo,0.0414
Decrescentes,500,QuickSortCentral,0.0166
Decrescentes,500,QuickSortRandomico,0.0500
Decrescentes,500,QuickSortMediana3,0.0664
Decrescentes,500,QuickSortUltimo,0.3860
Decrescentes,1000,QuickSortCentral,0.0294
Decrescentes,1000,QuickSortRandomico,0.0730
Decrescentes,1000,QuickSortMediana3,0.0946
Decrescentes,1000,QuickSortUltimo,0.7780
Decrescentes,2000,QuickSortCentral,0.0906
Decrescentes,2000,QuickSortRandomico,0.1318
Decrescentes,2000,QuickSortMediana3,0.1946
Decrescentes,2000,QuickSortUltimo,2.1778
Decrescentes,5000,QuickSortCentral,0.4016
Decrescentes,5000,QuickSortRandomico,0.3934
Decrescentes,5000,QuickSortMediana3,0.5002
Decrescentes,5000,QuickSortUltimo,10.8648
Decrescentes,7500,QuickSortCentral,0.3172
Decrescentes,7500,QuickSortRandomico,0.6344
Decrescentes,7500,QuickSortMediana3,0.7656
Decrescentes,7500,QuickSortUltimo,20.0384
Decrescentes,10000,QuickSortCentral,0.5834
Decrescentes,10000,QuickSortRandomico,1.2210
Decrescentes,10000,QuickSortMediana3,1.4376
Decrescentes,10000,QuickSortUltimo,34.0268
Decrescentes,15000,QuickSortCentral,0.7294
Decrescentes,15000,QuickSortRandomico,1.3468
Decrescentes,15000,QuickSortMediana3,2.0278
Decrescentes,15000,QuickSortUltimo,55.1418
Decrescentes,30000,QuickSortCentral,1.0814
Decrescentes,30000,QuickSortRandomico,2.6594
Decrescentes,30000,QuickSortMediana3,2.7944
Decrescentes,30000,QuickSortUltimo,145.9544
Decrescentes,50000,QuickSortCentral,1.8856
Decrescentes,50000,QuickSortRandomico,2.9802
Decrescentes,50000,QuickSortMediana3,4.2092
Decrescentes,50000,QuickSortUltimo,268.8480
Decrescentes,75000,QuickSortCentral,2.7020
Decrescentes,75000,QuickSortRandomico,4.2384
Decrescentes,75000,QuickSortMediana3,6.0294
Decrescentes,75000,QuickSortUltimo,445.3058
Decrescentes,100000,QuickSortCentral,3.7554
Decrescentes,100000,QuickSortRandomico,5.8120
Decrescentes,100000,QuickSortMediana3,8.7104
Decrescentes,100000,QuickSortUltimo,652.8524
Decrescentes,200000,QuickSortCentral,7.5650
Decrescentes,200000,QuickSortRandomico,11.4098
Decrescentes,200000,QuickSortMediana3,15.3152
Decrescentes,200000,QuickSortUltimo,1591.0850
Decrescentes,500000,QuickSortCentral,16.3136
Decrescentes,500000,QuickSortRandomico,25.6764
Decrescentes,500000,QuickSortMediana3,42.9634
Decrescentes,500000,QuickSortUltimo,5411.9350
Decrescentes,750000,QuickSortCentral,28.3868
Decrescentes,750000,QuickSortRandomico,40.7498
Decrescentes,750000,QuickSortMediana3,61.7998
Decrescentes,750000,QuickSortUltimo,8503.3900
Decrescentes,1000000,QuickSortCentral,38.0108
Decrescentes,1000000,QuickSortRandomico,64.2892
Decrescentes,1000000,QuickSortMediana3,88.7426
Decrescentes,1000000,QuickSortUltimo,10788.5626
Decrescentes,1250000,QuickSortCentral,48.6494
Decrescentes,1250000,QuickSortRandomico,62.0356
Decrescentes,1250000,QuickSortMediana3,90.6176
Decrescentes,1250000,QuickSortUltimo,12851.4150
Decrescentes,1500000,QuickSortCentral,66.5674
Decrescentes,1500000,QuickSortRandomico,98.4228
Decrescentes,1500000,QuickSortMediana3,182.9196
Decrescentes,1500000,QuickSortUltimo,17166.6134
Decrescentes,2000000,QuickSortCentral,75.2680
Decrescentes,2000000,QuickSortRandomico,98.8888
Decrescentes,2000000,QuickSortMediana3,146.5590
Decrescentes,2000000,QuickSortUltimo,25251.3960
ParcialmenteOrdenados,100,QuickSortCentral,0.0020
ParcialmenteOrdenados,100,QuickSortRandomico,0.0090
ParcialmenteOrdenados,100,QuickSortMediana3,0.0114
ParcialmenteOrdenados,100,QuickSortUltimo,0.0064
ParcialmenteOrdenados,200,QuickSortCentral,0.0044
ParcialmenteOrdenados,200,QuickSortRandomico,0.0168
ParcialmenteOrdenados,200,QuickSortMediana3,0.0216
ParcialmenteOrdenados,200,QuickSortUltimo,0.0086
ParcialmenteOrdenados,500,QuickSortCentral,0.0236
ParcialmenteOrdenados,500,QuickSortRandomico,0.0446
ParcialmenteOrdenados,500,QuickSortMediana3,0.0792
ParcialmenteOrdenados,500,QuickSortUltimo,0.0956
ParcialmenteOrdenados,1000,QuickSortCentral,0.0644
ParcialmenteOrdenados,1000,QuickSortRandomico,0.0748
ParcialmenteOrdenados,1000,QuickSortMediana3,0.1240
ParcialmenteOrdenados,1000,QuickSortUltimo,0.1300
ParcialmenteOrdenados,2000,QuickSortCentral,0.1098
ParcialmenteOrdenados,2000,QuickSortRandomico,0.2412
ParcialmenteOrdenados,2000,QuickSortMediana3,0.2654
ParcialmenteOrdenados,2000,QuickSortUltimo,0.5672
ParcialmenteOrdenados,5000,QuickSortCentral,0.3144
ParcialmenteOrdenados,5000,QuickSortRandomico,0.3014
ParcialmenteOrdenados,5000,QuickSortMediana3,0.4436
ParcialmenteOrdenados,5000,QuickSortUltimo,1.6984
ParcialmenteOrdenados,7500,QuickSortCentral,0.3878
ParcialmenteOrdenados,7500,QuickSortRandomico,0.5440
ParcialmenteOrdenados,7500,QuickSortMediana3,0.5822
ParcialmenteOrdenados,7500,QuickSortUltimo,3.3052
ParcialmenteOrdenados,10000,QuickSortCentral,0.5602
ParcialmenteOrdenados,10000,QuickSortRandomico,0.6290
ParcialmenteOrdenados,10000,QuickSortMediana3,0.8804
ParcialmenteOrdenados,10000,QuickSortUltimo,6.0954
ParcialmenteOrdenados,15000,QuickSortCentral,0.5004
ParcialmenteOrdenados,15000,QuickSortRandomico,0.8588
ParcialmenteOrdenados,15000,QuickSortMediana3,1.1830
ParcialmenteOrdenados,15000,QuickSortUltimo,6.3758
ParcialmenteOrdenados,30000,QuickSortCentral,1.0862
ParcialmenteOrdenados,30000,QuickSortRandomico,2.2932
ParcialmenteOrdenados,30000,QuickSortMediana3,3.4120
ParcialmenteOrdenados,30000,QuickSortUltimo,47.2064
ParcialmenteOrdenados,50000,QuickSortCentral,2.6554
ParcialmenteOrdenados,50000,QuickSortRandomico,3.8110
ParcialmenteOrdenados,50000,QuickSortMediana3,5.2902
ParcialmenteOrdenados,50000,QuickSortUltimo,395.0352
ParcialmenteOrdenados,75000,QuickSortCentral,2.7368
ParcialmenteOrdenados,75000,QuickSortRandomico,3.7566
ParcialmenteOrdenados,75000,QuickSortMediana3,5.4604
ParcialmenteOrdenados,75000,QuickSortUltimo,812.8202
ParcialmenteOrdenados,100000,QuickSortCentral,5.0306
ParcialmenteOrdenados,100000,QuickSortRandomico,7.8656
ParcialmenteOrdenados,100000,QuickSortMediana3,10.0098
ParcialmenteOrdenados,100000,QuickSortUltimo,1222.1646
ParcialmenteOrdenados,200000,QuickSortCentral,12.6384
ParcialmenteOrdenados,200000,QuickSortRandomico,14.1692
ParcialmenteOrdenados,200000,QuickSortMediana3,21.3962
ParcialmenteOrdenados,200000,QuickSortUltimo,2396.7242
ParcialmenteOrdenados,500000,QuickSortCentral,18.2846
ParcialmenteOrdenados,500000,QuickSortRandomico,41.4682
ParcialmenteOrdenados,500000,QuickSortMediana3,31.8438
ParcialmenteOrdenados,500000,QuickSortUltimo,9001.5842
ParcialmenteOrdenados,750000,QuickSortCentral,37.8848
ParcialmenteOrdenados,750000,QuickSortRandomico,48.6834
ParcialmenteOrdenados,750000,QuickSortMediana3,76.1500
ParcialmenteOrdenados,750000,QuickSortUltimo,15589.3630
ParcialmenteOrdenados,1000000,QuickSortCentral,48.3996
ParcialmenteOrdenados,1000000,QuickSortRandomico,70.1516
ParcialmenteOrdenados,1000000,QuickSortMediana3,79.0372
ParcialmenteOrdenados,1000000,QuickSortUltimo,20173.8576
ParcialmenteOrdenados,1250000,QuickSortCentral,45.2296
ParcialmenteOrdenados,1250000,QuickSortRandomico,43.2236
ParcialmenteOrdenados,1250000,QuickSortMediana3,69.1340
ParcialmenteOrdenados,1250000,QuickSortUltimo,24614.2522
ParcialmenteOrdenados,1500000,QuickSortCentral,56.2528
ParcialmenteOrdenados,1500000,QuickSortRandomico,75.8016
ParcialmenteOrdenados,1500000,QuickSortMediana3,115.9134
ParcialmenteOrdenados,1500000,QuickSortUltimo,33297.1242
ParcialmenteOrdenados,2000000,QuickSortCentral,71.5272
ParcialmenteOrdenados,2000000,QuickSortRandomico,92.0730
ParcialmenteOrdenados,2000000,QuickSortMediana3,142.7586
ParcialmenteOrdenados,2000000,QuickSortUltimo,44899.8878
